fileNumber,accessionNumber,countFilings,countAmendments,countProgressUpdates,latestProgressUpdate,quarter,companyAge,initialTargetOffering,finalTargetOffering,initialCampaignDeadline,finalCampaignDeadline,unknownProgressUpdate,raisedAmount,securityOfferedType,noOfSecurityOffered,price,oversubscriptionAccepted,oversubscriptionAllocationType,maximumOfferingAmount,currentEmployees,totalAssetMostRecentFiscalYear,totalAssetPriorFiscalYear,cashEqMostRecentFiscalYear,cashEqPriorFiscalYear,accountsReceivedRecentFiscalYear,accountsReceivedPriorFiscalYear,shortTermDebtMRecentFiscalYear,shortTermDebtPriorFiscalYear,longTermDebtRecentFiscalYear,longTermDebtPriorFiscalYear,revenueMostRecentFiscalYear,revenuePriorFiscalYear,costGoodsSoldRecentFiscalYear,costGoodsSoldPriorFiscalYear,taxPaidMostRecentFiscalYear,taxPaidPriorFiscalYear,netIncomeMostRecentFiscalYear,netIncomePriorFiscalYear,issuerName,legalStatusForm,dateIncorporation,city,stateOrCountry,zipCode,issuerWebsite,filingDate,IntermediaryName,state (US),Country,Platform
020-28494,0001830878-21-000007,5,2,1,"The Offering closed successfully on 12/7/2021, having received investment commitments of $164,500, although a final accounting has not taken place.",3Q,318,150000,50000,2021-10-31,2021-12-07,0,164500.00,Debt,,500,Y,"First-come, first-served basis",250000,2,28859,0,3336,0,0,0,0,0,0,0,0,0,0,0,0,0,-8641,0,"Harmony Global Foods, LLC",Limited Liability Company,2020-09-15,MONTCLAIR,NJ,7043,www.harmonyglobalfoods.com,2021-07-30,"FOLLA CAPITAL, LLC",NEW JERSEY,United States,others
020-27272,0001666081-20-000002,4,0,1,"The Offering closed successfully on March 17, 2021, having received investment commitments of $164,271, although a final accounting has not taken place.",4Q,1898,25000,25000,2021-04-02,2021-04-02,0,164271.00,Other,25000,1,Y,Other,1070000,1,533448,241694,149977,72607,32229,0,257828,53964,250000,0,448058,197536,770423,247518,0,0,-2162110,-644517,WellWell LLC,Limited Liability Company,2015-09-22,NEW YORK,NY,10013,https://www.drinkwellwell.com,2020-12-02,Republic,NEW YORK,United States,Republic
020-26002,0001716822-20-000001,4,2,1,"The Offering closed successfully on April 29, 2020, having received investment commitments of $163,945, although a final accounting has not taken place.",1Q,1246,25000,25000,2020-04-30,2020-04-30,0,163945.00,Other,25000,1,Y,Other,535000,8,229732,312032,216152,300668,221,0,3825,12398,827229,842914,86992,1606,37457,10869,21782,4246,-426454,-172109,"70 Million Resources, Inc.",Corporation,2016-08-10,Los Angeles,CA,90036,http://www.70millionjobs.com,2020-01-08,Republic,CALIFORNIA,United States,Republic
020-31655,0001665160-23-000112,4,1,1,"At the close of the offering, the issuer closed on $163,822.63 and 215,591 number of securities.",1Q,297,9999.9,9999.9,2023-03-22,2023-04-24,0,163822.63,Common Stock,12195,0.82,Y,Other,1234999.54,8,44162,0,44162,0,0,0,0,0,43875,0,0,0,0,0,0,0,-205771,0,"Foresyte, Inc",Corporation,2022-03-29,Chicago,IL,60657,http://foresyteapp.com,2023-01-20,StartEngine,ILLINOIS,United States,StartEngine
020-23904,0001665160-18-000018,11,6,2,"At the close of the offering, the issuer closed on $163,741.76 and 146,864 number of securities.",1Q,1756,9999.36,9999.36,2018-04-09,2019-02-12,0,163741.76,Common Stock,8928,1.12,Y,Other,106999.2,5,38692.43,20254.25,35977.16,17677.98,0,0,0,0,3878.33,278.33,21487.2,5002.21,15930.42,11955.29,0,0,-20742.82,-42971.47,"Powell Development Group, Inc.",Corporation,2013-03-20,Torrance,CA,90505,www.galacticcap.com,2018-01-09,StartEngine,CALIFORNIA,United States,StartEngine
020-29259,0001669191-21-001155,7,4,1,"End of offering. Issuer closed its offering with estimated gross proceeds of $163,458. The foregoing is in regard only to the amount raised under the Section 4(a)(6) exemption.",4Q,1939,10005,10004.63,2022-04-28,2022-06-30,0,163458.00,Other,348,28.75,Y,"First-come, first-served basis",4999998.75,9,771223,84821,748758,52336,3576,0,466656,651676,13655476,11297679,168810,19973,0,0,0,0,-3854320,-5473076,Rialto Trading Holdings LLC,Limited Liability Company,2016-08-05,New York,NY,10004,https://rialtomarkets.com/,2021-11-26,NetCapital Funding Portal Inc.,NEW YORK,United States,NetCapital Funding Portal Inc.
020-30785,0001665160-22-002288,5,2,1,"At the close of the offering, the issuer closed on $163,234.31 and 44,546 number of securities.",3Q,1204,9996,9996,2022-11-22,2022-12-22,0,163234.31,Common Stock,2352,4.25,Y,Other,1069997,8,391879,1472474,161203,1167255,0,45,1944960,69481,0,1700000,460585,314961,259486,164812,0,0,-1256074,-596160,ScriptCo Inc.,Corporation,2019-05-08,Woodway,TX,76712,www.scriptco.com,2022-08-24,StartEngine,TEXAS,United States,StartEngine
020-30798,0001943961-22-000001,4,0,1,"The Offering closed successfully on 11/5/2022, having received investment commitments of $163,129.13, although a final accounting has not taken place.",3Q,1203,107100,107100,2022-11-04,2022-11-04,0,163129.13,Other,107100,1,Y,Other,250000,3,556458,236792,499273,230642,27193,3241,50605,4331,1270964,714964,95770,9705,0,980,0,0,-282608,-338373,"Inlightened, Inc",Corporation,2019-05-10,BOSTON,MA,2114,https://getinlightened.com/,2022-08-25,Republic,MASSACHUSETTS,United States,Republic
020-29061,0001873882-21-000001,4,0,1,"The Offering closed successfully on 5/2/2022, having received commitments of $163,085, although a final accounting has not taken place.",4Q,569,107010,107010,2022-04-30,2022-04-30,0,163085.00,Other,107010,1,Y,Other,250000,1,53677,0,53677,0,0,0,25048,0,0,0,27721,0,58080,0,0,0,-46371,0,Yumwoof Natural Pet Food LLC,Limited Liability Company,2020-04-07,LAS VEGAS,NV,89135,https://yumwoof.com/,2021-10-28,Republic,NEVADA,United States,Republic
020-28193,0001747584-21-000014,5,0,2,"The issuer closed on $162,800 of SAFEs. The funding portal was granted $3,200 of securities as compensation.",2Q,65,15000,15000,2021-07-31,2021-07-31,0,162800.00,Other,2500,,Y,"First-come, first-served basis",250000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ola Filter Corp,Corporation,2021-03-31,BEND,OR,97701,https://www.olafilter.com,2021-06-04,"Raise Green, Inc.",OREGON,United States,others
020-27547,0001746059-21-000058,2,0,1,"At the close of the offering, the issuer closed on $162,700. The funds are currently being processed. The actual amount may be lower.",1Q,360,150000,150000,2021-04-21,2021-04-21,0,162700.00,Debt,,1,Y,"First-come, first-served basis",250000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forrest Hill Brewing Co LLC,Limited Liability Company,2020-02-04,BILLERICA,MA,1821,https://www.mill77brewing.com/,2021-01-29,"MainVest, Inc.",MASSACHUSETTS,United States,"MainVest, Inc."
020-28099,0001855137-21-000001,6,1,1,"The Offering closed successfully on 9/02/2021, having received investment commitments of $161,481.42, although a final accounting has not taken place.",2Q,642,25000,25000,2021-09-01,2021-09-01,0,161481.42,Other,25000,1,Y,Other,750000,14,280222,252752,42180,2242,21839,7744,212155,317954,471743,272011,1315279,883272,661527,269695,0,0,-191274,-10403,"Spinster Sisters, Inc.",Corporation,2019-08-14,GOLDEN,CO,80401,www.spinstersistersco.com,2021-05-17,Republic,COLORADO,United States,Republic
020-30628,0001665160-22-002146,4,1,1,"At the close of the offering, the issuer closed on $161,227.72 and 379,290 number of securities.",3Q,148,10000,10000,2022-11-01,2023-01-03,0,161227.72,Common Stock,20000,0.5,Y,Other,1070000,1,808719,597365,144181,165455,207905,158122,260669,25641,2663507,2007496,676238,518396,430282,359917,0,0,-679684,-446517,"Apres Beverages, Inc.",Corporation,2022-03-07,Battle Creek,MI,49017,https://caskandkettleusa.com/,2022-08-02,StartEngine,MICHIGAN,United States,StartEngine
020-26123,0001670254-20-000119,4,1,1,"The Offering closed successfully on June 19, 2020, having received investment commitments of $160,814, although a final accounting has not taken place.",1Q,320,50000,50000,2020-05-15,2020-06-30,0,160814.00,Other,50000,1,Y,Other,250000,5,328219,0,10306,0,0,0,106410,0,335940,0,0,0,2643,0,0,0,-130226,0,Kazoo LLC,Limited Liability Company,2019-04-04,Washington,DC,20007,https://getkazoo.com,2020-02-18,Wefunder Portal LLC,DISTRICT OF COLUMBIA,United States,Wefunder Portal LLC
020-26162,0001803861-20-000002,5,3,1,"This C/ U is to report the to total raised:  Funded: $160,700.00 and the total number of final investors is 599.",1Q,198,15000,15000,2020-08-24,2021-01-07,0,160700.00,Common Stock,27272,0.55,Y,"First-come, first-served basis",107000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MELANOID EXCHANGE LLC,Limited Liability Company,2019-08-13,WEST PARK,FL,33023,https://melanoidexchange.com/,2020-02-27,Buy The Block,FLORIDA,United States,others
020-26705,0001665160-20-000997,9,6,2,"At the close of the offering, the issuer closed on $160,570.10 in Convertible Promissory Notes.",3Q,99,10000,10000,2020-10-27,2021-04-23,0,160570.10,Other,10000,,Y,Other,107000,2,9647,4524.95,9547,3994.32,100,530.63,62938.45,63930.13,13331.88,0,437344.77,276802.32,127069.25,75750.81,0,0,27929.16,-3818.99,Learnt Corporation,Corporation,2020-04-20,Galveston,TX,77550,https://learnt.io,2020-07-28,StartEngine,TEXAS,United States,StartEngine
020-23234,0001644600-17-000023,3,0,1,"$160,000 is our best estimate for the total amount of securities that will be sold.",1Q,232,100000,100000,2017-05-01,2017-05-01,0,160000.00,Debt,,1,Y,"First-come, first-served basis",350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FenSens, Inc",Corporation,2016-07-20,BELLINGHAM,WA,98226,www.fensens.com,2017-03-09,SeedInvest,WASHINGTON,United States,SeedInvest
020-28528,0001665160-21-001410,7,2,2,"At the close of the offering, the issuer closed on $159,954.65 and 72,315 number of securities.",3Q,1857,9999,9998.4,2022-02-01,2021-12-08,0,159954.65,Other,3333,3,Y,Other,999999,9,86961,175621,56947,154654,0,0,1067832,123656,102149,95169,0,0,0,0,0,0,-2142780,-672981,"Smardii, Inc.",Corporation,2016-07-05,Miami,FL,33131,smardii.com,2021-08-05,StartEngine,FLORIDA,United States,StartEngine
020-31409,0001665160-22-003000,3,1,1,"At the close of the offering, the issuer closed on $159,870.45 and 61,029 number of securities.",4Q,4539,10001.22,10001.22,2023-01-31,2023-04-03,0,159870.45,Common Stock,3534,2.83,Y,Other,4999998.72,8,1612120,713591,1256284,376482,0,0,456808,412882,0,0,0,10000,8827,0,0,0,-771455,-291963,"Epilog Imaging Systems, Inc.",Corporation,2010-06-28,San Jose,CA,95113,www.epilog.com,2022-12-01,StartEngine,CALIFORNIA,United States,StartEngine
020-31335,0001665160-22-002933,3,0,1,"At the close of the offering, the issuer closed on $159,676.32 and 246,198 number of securities.",4Q,765,10000,10000,2023-02-15,2023-02-15,0,159676.32,Common Stock,12500,0.8,Y,Other,1235000,27,2277721,1553762,381956,566326,699242,348369,1653955,663847,218982,141228,6575640,6884892,3117614,3190768,181528,115611,-308795,910436,"REUZEit, Inc.",Corporation,2020-10-13,Temecula,CA,92590,https://www.reuzeit.com,2022-11-17,StartEngine,CALIFORNIA,United States,StartEngine
020-31007,0001665160-22-002506,4,1,1,"At the close of the offering, the issuer closed on $159,665.68 and 142,956 number of securities.",3Q,1262,10000,10000,2022-12-28,2023-01-27,0,159665.68,Common Stock,8000,1.25,Y,Other,1250000,3,266858,17843,137319,17843,0,0,14630,14000,485000,0,0,0,0,0,0,0,-237950,-296,Sofabet Co.,Corporation,2019-04-15,Dover,DE,19901,https://www.betsparket.com/,2022-09-28,StartEngine,DELAWARE,United States,StartEngine
020-30534,0001670254-22-000755,2,0,1,"The final number is $159,502.00 in investments.",3Q,677,90000,90000,2023-04-30,2023-04-30,0,159502.00,Other,100000,1,Y,Other,1500000,1,57500,65990,5000,7490,0,0,0,0,0,0,0,0,0,0,0,0,-15844,-9010,HotelierCo Retail LLC,Limited Liability Company,2020-09-09,Indialantic,FL,32903,http://www.hotelierco.com,2022-07-18,Wefunder Portal LLC,FLORIDA,United States,Wefunder Portal LLC
020-25733,0001785021-19-000001,4,0,1,"The offering successfully closed on December 6, 2019, having received investment commitments of $159,438, although a final accounting has not yet been completed.",4Q,377,100000,100000,2019-12-31,2019-12-31,0,159438.00,Other,100000,1,Y,Other,1070000,2,110321,0,110321,0,0,0,0,0,100,0,0,0,0,0,0,0,112279,0,Back Porch Homes LLC,Limited Liability Company,2018-10-03,RIVERSIDE,CA,92501,http://www.backporchhomes.com,2019-10-15,Republic,CALIFORNIA,United States,Republic
020-29007,0001665160-21-001849,4,0,1,"At the close of the offering, the issuer closed on $158,226.93 and 151,203 number of securities.",4Q,89,9999,9999,2022-04-19,2022-04-19,0,158226.93,Common Stock,9090,1.1,Y,Other,1069998.6,7,10000,0,0,0,10000,0,7787,0,0,0,0,0,0,0,0,0,0,0,VOWburger Company,Corporation,2021-07-23,Los Angeles,CA,90036,https://vowburger.com,2021-10-20,StartEngine,CALIFORNIA,United States,StartEngine
020-24167,0001669191-18-000198,7,2,1,"End of offering. Issuer raised an estimated $157,806.",2Q,1563,10000,10000,2018-06-17,2018-06-29,0,157806.00,Other,10000,1,Y,"First-come, first-served basis",1070000,4,13367,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,-137567,-52833,"ZENII, LLC",Limited Liability Company,2013-12-31,New York,NY,10027,www.intrommune.com,2018-04-12,NetCapital Funding Portal Inc.,NEW YORK,United States,NetCapital Funding Portal Inc.
020-29679,0001828984-22-000001,3,0,1,"The issuer raised approximately $157,394.16 during the offering period. Payments are still being processed; the exact amount has yet to be determined.",1Q,2929,25000,25000,2022-04-09,2022-04-09,0,157394.16,Preferred Stock,16234,1.54,Y,"First-come, first-served basis",1070000,16,1028383,39379,967839,18084,569,8576,277298,658206,186390,0,1217760,812599,174734,78168,0,0,-938578,-638343,"Cloud Dentistry, Inc.",Corporation,2014-02-03,BOSTON,MA,2108,https://www.clouddentistry.com,2022-02-10,SeedInvest,MASSACHUSETTS,United States,SeedInvest
020-30523,0001665160-22-002035,3,0,1,"At the close of the offering, the issuer closed on $157,337 and 135,704 number of securities.",3Q,471,9999,9999,2022-10-13,2022-10-13,0,157337.00,Common Stock,6666,1.5,Y,Other,1069999.5,5,270433,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,-90542,0,"Digital Mailbox, Inc.",Corporation,2021-03-31,SANTA MONICA,CA,90403,www.Zipinmail.com,2022-07-15,StartEngine,CALIFORNIA,United States,StartEngine
020-27901,0001849264-21-000001,5,0,1,"The Offering closed successfully on 10/04/2021, having received investment commitments of $157,313.00, although a final accounting has not taken place.",2Q,3032,25000,25000,2021-10-03,2021-10-03,0,157313.00,Other,25000,1,Y,Other,1070000,6,512243,589909,204190,135888,2900,0,548669,701811,0,0,1890110,591519,684158,114791,3446,7719,82781,-578732,"Pakt, Inc.",Corporation,2012-12-17,ROCHESTER,NY,14618,https://paktbags.com,2021-04-06,Republic,NEW YORK,United States,Republic
020-28135,0001665160-21-000971,6,3,2,"At the close of the offering, the issuer closed on $156,899 and 102,931 shares of common stock.",2Q,2881,10000,10000,2021-11-17,2021-11-17,0,156899.00,Common Stock,6250,1.6,Y,Other,1070000,13,373880,187908,4390,61029,145096,0,171248,73204,251857,198972,698420,304417,199409,86754,0,0,134201,-158839,Hardscoop Inc.,Corporation,2013-07-01,Charleston,SC,29492,https://hardscoop.com/,2021-05-21,StartEngine,SOUTH CAROLINA,United States,StartEngine
020-27672,0001846065-21-000001,5,2,1,"$156,713 in investments. Payments still processing final figure not yet determined.",1Q,175,25000,25000,2021-07-26,2021-10-04,0,156713.00,Other,25000,1,Y,Other,107000,4,7669.53,0,6693.08,0,0,0,0,0,15000,0,0,0,0,0,0,0,-7415.47,0,CISAPP Online Inc.,Corporation,2020-09-01,Houston,TX,77043,https://www.cisapp.co/,2021-02-23,MicroVenture Marketplace Inc.,TEXAS,United States,MicroVenture Marketplace Inc.
020-27307,0001746059-20-000431,6,3,1,"At the close of the offering, the issuer closed on $156,300. The funds are currently being processed. The actual amount may be lower.",4Q,37,20000,20000,2021-02-24,2021-08-07,0,156300.00,Debt,,1,Y,"First-come, first-served basis",107000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moxi On The Rocks LLC,Limited Liability Company,2020-11-02,HARTFORD,CT,6105,quiverspirits.com,2020-12-09,"MainVest, Inc.",CONNECTICUT,United States,"MainVest, Inc."
020-30061,0001665160-22-000709,4,1,1,"At the close of the offering, the issuer closed on $155,875.14 and 81,330 number of securities.",2Q,44,10000,10000,2022-10-18,2022-10-18,0,155875.14,Other,5000,2,Y,Other,1070000,3,2835,8727,11,3513,2823,5214,49986,0,0,0,32329,13033,0,0,0,0,-55878,7206,Boones Bourbon Co.,Corporation,2022-03-08,Charleston,SC,29445,www.drinkboonesbourbon.com,2022-04-21,StartEngine,SOUTH CAROLINA,United States,StartEngine
020-23474,0001711429-17-000001,7,3,1,"The issuer raised approximately $155,732 during the offering period.  Payments are still being processed; the exact amount has yet to be determined.",3Q,433,50000,50000,2017-09-18,2017-09-18,0,155732.00,Other,50000,1,Y,Other,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Three Little Stooges Productions LLC,Limited Liability Company,2016-05-12,Glendale,CA,91204,thethreelittlestooges.com,2017-07-19,First Democracy VC,CALIFORNIA,United States,others
020-28403,0001866890-21-000002,2,0,1,"Currently, Simply Sonoma has sold 3,107,000.00 securities at $0.50 per share, resulting in a total raise that has cleared escrow at this time of $155,350.00.",3Q,219,100000,100000,2022-07-15,2022-07-15,0,155350.00,Other,200000,0.5,Y,"First-come, first-served basis",5000000,4,0,0,81000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,"Simply Sonoma, Inc",Corporation,2020-12-08,Sebastopol,CA,95472,www.simplysonoma.org,2021-07-15,Title3Funds,CALIFORNIA,United States,others
020-31949,0001966323-23-000001,3,0,1,"The Offering closed successfully on 5/1/2023, having received investment commitments of $155,261, although a final accounting has not taken place.",1Q,1365,25000,25000,2023-04-30,2023-04-30,0,155261.00,Other,25000,1,Y,Other,1235000,2,4496,0,2957,0,0,0,131058,0,0,0,168044,0,117047,0,0,0,-126561,0,Solvpath LLC,Limited Liability Company,2019-06-11,BELLMORE,NY,11710,https://www.solvpath.com,2023-03-07,Republic,NEW YORK,United States,Republic
020-27382,0001831643-20-000001,4,0,1,"The Offering closed successfully on April 23, 2021, having received investment commitments of $155,064, although a final accounting has not taken place.",4Q,1023,25000,25000,2021-04-22,2021-04-22,0,155064.00,Other,25000,1,Y,Other,250000,3,219760,13049,191592,12897,938,0,11528,19337,230950,0,35522,5816,28305,17136,0,0,-46919,-27145,LIL BUCKS LLC,Limited Liability Company,2018-03-06,TROUT VALLEY,IL,60013,https://lovelilbucks.com/,2020-12-23,Republic,ILLINOIS,United States,Republic
020-28970,0001742232-21-000002,2,0,1,"The offering has closed successfully on 2/22/2022 having received investment commitments of $155,019 although a final accounting has not taken place.",4Q,1722,25000,25000,2022-04-30,2022-04-30,0,155019.00,Other,25000,1,Y,Other,535000,0,321307,311053,6473,486,0,0,33700,20326,202460,99419,187,540,0,0,0,0,-140870,-749128,nedl.com Inc.,Corporation,2017-01-26,SANTA MONICA,CA,90405,https://home.nedl.com,2021-10-14,Republic,CALIFORNIA,United States,Republic
020-31334,0001665160-22-002931,6,3,1,"At the close of the offering, the issuer closed on $154,630.28 and 2,617,049 number of securities.",4Q,2281,9999.99,9999.99,2023-01-16,2023-04-17,0,154630.28,Other,142857,0.07,Y,Other,1234999.99,5,196831,240963,39428,138402,51526,46050,52838,330214,62417,334558,814900,656247,663353,568441,0,0,-1073409,-216370,NITRO Beverage Inc.,Corporation,2016-08-19,Asbury Park,NJ,7712,https://drinknitro.com/,2022-11-17,StartEngine,NEW JERSEY,United States,StartEngine
020-30956,0001665160-22-002462,5,2,1,"At the close of the offering, the issuer closed on $154,107.86 and 79,923 number of securities.",3Q,202,9999.36,9999.36,2022-12-21,2023-01-20,0,154107.86,Common Stock,4464,2.24,Y,Other,1069987.52,3,14718,0,14718,0,0,0,0,0,0,0,60000,0,0,0,0,0,-9193,0,"Immergo Labs, Inc.",Corporation,2022-03-04,Santa Cruz,CA,95060,http://immergolabs.com/,2022-09-22,StartEngine,CALIFORNIA,United States,StartEngine
